sample_name	age	age_group	age_unit	altitude	anonymized_name	antibiotics	bcs	bcs_grouping	body_habitat	body_product	body_site	breed	breed_grouping	collection_date	collection_timestamp	country	crude_fiber_1000kcalg_me_group	depth	description	dewormed	disease_stat	dna_extracted	elevation	emp_status	env_biome	env_feature	g_fat_1000kcal_me_group	g_protein_1000kcal_me_group	gender_specific	has_extracted_data	has_physical_specimen	histo	host_common_name	host_scientific_name	host_subject_id	host_taxid	indiv_g_fat_1000kcal_me_group	indiv_g_protein_1000kcal_me_group	indoor_outdoor	latitude	longitude	perc_crude_protein_min_group	percent_crude_fat_min_group	percent_crude_fiber_max_group	percent_met_cal_carb_group	percent_met_cal_fat_group	percent_met_cal_protein_group	physical_location	physical_specimen_location	physical_specimen_remaining	prebotic_source	protein_source	public	qiita_empo_1	qiita_empo_2	qiita_empo_3	qiita_study_id	sample_type	scientific_name	sex	size_grouping	state	state_us	title	tot_mass	travel_history	weight_group	weight_kg
833.Nor.C3	6.0	3.0	years	0	Nor.C3	maybe_yes			UBERON:feces	UBERON:feces	UBERON:feces	Boxer_Mix	Working	1/30/12	1/30/12	GAZ:United States of America	1_10	0	IBD2_Nor_C3_E2_R.K.1.20.12		IBD	true	144.85	NOT_EMP	ENVO:urban biome	ENVO:animal-associated habitat	20_35	62_85	MC	true	true	small	domestic dog	Canis lupus familiaris	Nor.C3	9615	29.0	67.0		36.78	-119.42	21_25	5_13	1_5	10_37	25_35	27_38	CCME	Texas A&M	false		fish	false				833	unknown		male	medium	California	California	Suchodolski_dog_ibd	30.0		3.0	30.0
833.Nor.C4	5.0	2.0	years	0	Nor.C4	definite_yes			UBERON:feces	UBERON:feces	UBERON:feces	Shar_pei	Working	1/30/12	1/30/12	GAZ:United States of America		0	IBD2_Nor_C4_E3_R.K.1.20.12		IBD	true	176.58	NOT_EMP	ENVO:urban biome	ENVO:animal-associated habitat			MC	true	true	both	domestic dog	Canis lupus familiaris	Nor.C4	9615				41.203	-77.19							CCME	Texas A&M	false			false				833	unknown		male	medium	Pennsylvania	Pennsylvania	Suchodolski_dog_ibd	27.0		3.0	27.0
833.Nor.C5	7.5	3.0	years	0	Nor.C5	definite_yes			UBERON:feces	UBERON:feces	UBERON:feces	Newfoundland	Working	1/30/12	1/30/12	GAZ:United States of America	20_45	0	IBD2_Nor_C5_E4_R.K.1.20.12		IBD	true	144.85	NOT_EMP	ENVO:urban biome	ENVO:animal-associated habitat	20_35	62_85	MC	true	true	small	domestic dog	Canis lupus familiaris	Nor.C5	9615	25.0	106.0		36.78	-119.42	26_35	5_13	6_15	38_45	15_24	27_38	CCME	Texas A&M	false		chicken	false				833	unknown		male	large	California	California	Suchodolski_dog_ibd	30.0		3.0	30.0
833.Nor.C6	6.0	3.0	years	0	Nor.C6	maybe_yes			UBERON:feces	UBERON:feces	UBERON:feces	Husky_Mix	Working	1/30/12	1/30/12	GAZ:United States of America	1_10	0	IBD2_Nor_C6_E5_R.K.1.20.12		IBD	true	252.82	NOT_EMP	ENVO:urban biome	ENVO:animal-associated habitat	20_35	62_85	FS	true	true	small	domestic dog	Canis lupus familiaris	Nor.C6	9615	29.6	63.1		40.63	-89.39	26_35	5_13	1_5	38_45	25_35	21_26	CCME	Texas A&M	false		chicken	false				833	unknown		female	large	Illinois	Illinois	Suchodolski_dog_ibd	30.0		3.0	30.0
833.Nor.C7	9.5	3.0	years	0	Nor.C7	maybe_yes			UBERON:feces	UBERON:feces	UBERON:feces	Cockapoo	Toy/Companion	1/30/12	1/30/12	GAZ:United States of America		0	IBD2_Nor_C7_E6_R.K.1.20.12		IBD	true	28.7	NOT_EMP	ENVO:urban biome	ENVO:animal-associated habitat			FS	true	true	small	domestic dog	Canis lupus familiaris	Nor.C7	9615				27.66	-81.52	21_25	5_13	1_5				CCME	Texas A&M	false		lamb	false				833	unknown		female	medium	Florida	Florida	Suchodolski_dog_ibd	14.0		2.0	14.0
833.Nor.C8	13.0	5.0	years	0	Nor.C8	maybe_yes			UBERON:feces	UBERON:feces	UBERON:feces	Boston_Terrier	Toy/Companion	1/30/12	1/30/12	GAZ:United States of America		0	IBD2_Nor_C8_E7_R.K.1.20.12		IBD	true	359.6	NOT_EMP	ENVO:urban biome	ENVO:animal-associated habitat			FS	true	true	small	domestic dog	Canis lupus familiaris	Nor.C8	9615				43.3	-74.22							CCME	Texas A&M	false			false				833	unknown		female	small	New York	New York	Suchodolski_dog_ibd	10.0		1.0	10.0
833.Nor.C9	1.5	2.0	years	0	Nor.C9	maybe_yes			UBERON:feces	UBERON:feces	UBERON:feces	Labrador_Retriever	Sporting	1/30/12	1/30/12	GAZ:United States of America	1_10	0	IBD2_Nor_C9_E8_R.K.1.20.12		IBD	true	273.5	NOT_EMP	ENVO:urban biome	ENVO:animal-associated habitat	20_35	62_85	FS	true	true	small	domestic dog	Canis lupus familiaris	Nor.C9	9615	28.7	66.1		40.27	-86.13	21_25	5_13	1_5	46_55	15_24	21_26	CCME	Texas A&M	false	FOS 1.0%	chicken	false				833	unknown		female	large	Indiana	Indiana	Suchodolski_dog_ibd	35.0		4.0	35.0
833.RVC.17	7.0	3.0	years	0	RVC.17	definite_no			UBERON:feces	UBERON:feces	UBERON:feces	Lurcher	Working	1/30/12	1/30/12	GAZ:United Kingdom	1_10	0	IBD2_RVC 17_H10_R.K.1.20.12		IBD	true	371.43	NOT_EMP	ENVO:urban biome	ENVO:animal-associated habitat	20_35	40_61	FS	true	true	both	domestic dog	Canis lupus familiaris	RVC.17	9615	35.7	65.2		55.38	-3.44	21_25	5_13	1_5	46_55	25_35	15_20	CCME	Texas A&M	false	FOS 0.4%	fish	false				833	unknown		female	medium			Suchodolski_dog_ibd	13.5		2.0	13.5
833.RVC01	3.0	2.0	years	0	RVC01	definite_no			UBERON:feces	UBERON:feces	UBERON:feces	Labrador_Retriever	Sporting	1/30/12	1/30/12	GAZ:France	1_10	0	IBD2_France_DC2_F6_R.K.1.20.12		IBD	true	419.17	NOT_EMP	ENVO:urban biome	ENVO:animal-associated habitat	20_35	62_85	F	true	true	small	domestic dog	Canis lupus familiaris	RVC01	9615	33.0	48.0		46.23	2.21	26_35	14_20	1_5	38_45	25_35	21_26	CCME	Texas A&M	false		chicken	false				833	unknown		female	large			Suchodolski_dog_ibd	35.0		4.0	35.0
833.RVC03	8.0	3.0	years	0	RVC03	definite_no			UBERON:feces	UBERON:feces	UBERON:feces	Labrador_Retriever	Sporting	1/30/12	1/30/12	GAZ:United Kingdom	1_10	0	IBD2_RVC01_G10_R.K.1.20.12		IBD	true	371.43	NOT_EMP	ENVO:urban biome	ENVO:animal-associated habitat	36_50	40_61	FS	true	true	small	domestic dog	Canis lupus familiaris	RVC03	9615	41.0	45.0		55.38	-3.44	14_20	5_13	1_5	46_55	25_35	15_20	CCME	Texas A&M	false		hydrolyzed	false				833	unknown		female	large			Suchodolski_dog_ibd	15.1		2.0	15.1
833.RVC05	4.0	2.0	years	0	RVC05	definite_no			UBERON:feces	UBERON:feces	UBERON:feces	German_Shepherd_Dog	Working	1/30/12	1/30/12	GAZ:United Kingdom	1_10	0	IBD2_RVC03_G11_R.K.1.20.12		IBD	true	371.43	NOT_EMP	ENVO:urban biome	ENVO:animal-associated habitat	36_50	40_61	M	true	true	both	domestic dog	Canis lupus familiaris	RVC05	9615	40.0	42.0		55.38	-3.44	14_20	14_20	1_5	46_55	25_35	15_20	CCME	Texas A&M	false		chicken	false				833	unknown		male	large			Suchodolski_dog_ibd	33.5		4.0	33.5
833.RVC06	1.5	1.0	years	0	RVC06	definite_yes			UBERON:feces	UBERON:feces	UBERON:feces	Siberian_Husky	Working	1/30/12	1/30/12	GAZ:United Kingdom	1_10	0	IBD2_RVC05_G12_R.K.1.20.12		IBD	true	371.43	NOT_EMP	ENVO:urban biome	ENVO:animal-associated habitat	36_50	40_61	MC	true	true	small	domestic dog	Canis lupus familiaris	RVC06	9615	47.0	52.0		55.38	-3.44	14_20	14_20	1_5	38_45	36_43	15_20	CCME	Texas A&M	false		other	false				833	unknown		male	large			Suchodolski_dog_ibd	23.9		3.0	23.9
833.RVC07	1.0	1.0	years	0	RVC07	definite_yes			UBERON:feces	UBERON:feces	UBERON:feces	German_Shepherd_Dog	Working	1/30/12	1/30/12	GAZ:United Kingdom	1_10	0	IBD2_RVC06_H1_R.K.1.20.12		IBD	true	371.43	NOT_EMP	ENVO:urban biome	ENVO:animal-associated habitat	20_35	62_85	F	true	true	small	domestic dog	Canis lupus familiaris	RVC07	9615	35.7	65.2		55.38	-3.44	14_20	14_20	1_5	46_55	25_35	21_26	CCME	Texas A&M	false		hydrolyzed	false				833	unknown		female	large			Suchodolski_dog_ibd	25.5		3.0	25.5
833.RVC08	2.5	1.0	years	0	RVC08	definite_no			UBERON:feces	UBERON:feces	UBERON:feces	German_Shepherd_Dog	Working	1/30/12	1/30/12	GAZ:United Kingdom	1_10	0	IBD2_RVC07_H2_R.K.1.20.12		IBD	true	371.43	NOT_EMP	ENVO:urban biome	ENVO:animal-associated habitat	20_35	62_85	M	true	true	small	domestic dog	Canis lupus familiaris	RVC08	9615	35.7	65.2		55.38	-3.44	21_25	5_13	1_5	46_55	25_35	21_26	CCME	Texas A&M	false	FOS 0.4%	fish	false				833	unknown		male	large			Suchodolski_dog_ibd	41.5		5.0	41.5
833.RVC10	10.0	4.0	years	0	RVC10	definite_no			UBERON:feces	UBERON:feces	UBERON:feces	Staffordshire_Bull_Terrier	Terrier	1/30/12	1/30/12	GAZ:United Kingdom		0	IBD2_RVC08_H3_R.K.1.20.12		IBD	true	371.43	NOT_EMP	ENVO:urban biome	ENVO:animal-associated habitat			MC	true	true	small	domestic dog	Canis lupus familiaris	RVC10	9615				55.38	-3.44	21_25	5_13	1_5				CCME	Texas A&M	false	FOS 0.4%	fish	false				833	unknown		male	medium			Suchodolski_dog_ibd	21.2		3.0	21.2
